feature,url,preview_detected,status,screenshot
Document Conversion (Image to PDF),https://www.pixelssuite.com/image-to-pdf,True,PASS,all_results/document_conversion_image_to_pdf_pass.png
Image Resizing,https://www.pixelssuite.com/resize-image,True,PASS,all_results/image_resizing_pass.png
Cropping,https://www.pixelssuite.com/crop-image,True,PASS,all_results/cropping_pass.png
Compression,https://www.pixelssuite.com/compress-image,True,PASS,all_results/compression_pass.png
Image Format Conversion (to PNG),https://www.pixelssuite.com/convert-to-png,True,PASS,all_results/image_format_conversion_to_png_pass.png
Meme Generation,https://www.pixelssuite.com/meme-generator,True,PASS,all_results/meme_generation_pass.png
Color Picker,https://www.pixelssuite.com/color-picker,True,PASS,all_results/color_picker_pass.png
Image Rotation,https://www.pixelssuite.com/rotate-image,True,PASS,all_results/image_rotation_pass.png
Image Flipping,https://www.pixelssuite.com/flip-image,True,PASS,all_results/image_flipping_pass.png
PDF Editing,https://www.pixelssuite.com/edit-pdf,True,PASS,all_results/pdf_editing_pass.png
